Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-07-2022_18-06-2023,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,%,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023
Renovable,"38,445","37,765","37,543","38,491","46,684","44,588","56,746","45,505","52,614","51,977","53,925","45,131"
No renovable,"61,555","62,235","62,457","61,509","53,316","55,412","43,254","54,495","47,386","48,023","46,075","54,869"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Provisional: 01/07/2022 - 31/05/2023,,,,,,,,,,,
 ,Programa: 01/06/2023 - 15/06/2023,,,,,,,,,,,
 ,Previsto: 16/06/2023 - 16/06/2023,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,18/06/2023 - 19:39:50,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
